DATE,LRHUTTTTNLM156S
2012-07-01,6.8333333333333333
2012-10-01,7.2000000000000000
2013-01-01,7.7000000000000000
2013-04-01,8.1333333333333333
2013-07-01,8.5000000000000000
2013-10-01,8.4666666666666667
2014-01-01,8.6666666666666667
2014-04-01,8.4666666666666667
2014-07-01,8.1000000000000000
2014-10-01,8.1333333333333333
2015-01-01,8.1666666666666667
2015-04-01,8.0000000000000000
2015-07-01,7.7333333333333333
2015-10-01,7.7333333333333333
2016-01-01,7.4333333333333333
2016-04-01,7.2333333333333333
2016-07-01,6.8333333333333333
2016-10-01,6.5333333333333333
2017-01-01,6.3000000000000000
2017-04-01,6.0666666666666667
2017-07-01,5.7666666666666667
2017-10-01,5.4333333333333333
2018-01-01,5.1000000000000000
2018-04-01,4.9000000000000000
2018-07-01,4.8666666666666667
2018-10-01,4.6333333333333333
2019-01-01,4.4666666666666667
2019-04-01,4.3333333333333333
2019-07-01,4.4666666666666667
2019-10-01,4.4333333333333333
2020-01-01,4.0666666666666667
2020-04-01,4.8333333333333333
2020-07-01,5.4666666666666667
2020-10-01,5.0666666666666667
2021-01-01,4.6666666666666667
2021-04-01,4.3666666666666667
2021-07-01,4.1333333333333333
2021-10-01,3.8000000000000000
2022-01-01,3.4333333333333333
2022-04-01,3.3000000000000000
2022-07-01,3.7333333333333333
